  -0.044916	  -0.210476	   1.267208	  -0.229566	  -0.146008	  -0.052760	  -0.023167	  -0.207004	   1.137061	  -0.121558	  -0.244274	  -0.140666	  -0.074165	   1.007614	   0.617522	  -0.243869	  -0.296345	  -0.267512	   1.653606	   1.516036	   1.475799	   1.422091	  -0.267071	  -0.225213	  -0.250292	  -0.051106	  -0.079506	  -0.023462	
  -0.040892	   0.458130	   0.720161	   0.872133	   0.964281	   0.925524	   0.359541	  -0.149808	  -0.140579	  -0.121987	  -0.003290	   0.375081	   1.075211	  -0.056430	  -0.087547	  -0.131646	  -0.070823	   0.604046	  -0.033079	  -0.067304	  -0.117056	   0.258198	  -0.034377	  -0.089746	   0.044968	  -0.070645	  -0.093918	  -0.231459	
  -0.054497	  -0.083931	  -0.137128	  -0.150672	   0.319829	   0.748697	  -0.182003	  -0.030962	  -0.067036	  -0.145261	   0.007225	   0.880817	  -0.100020	  -0.031127	  -0.087773	  -0.093893	   0.887006	  -0.029661	  -0.056441	  -0.120544	   0.814915	   0.111043	  -0.153441	   0.605840	   0.427408	   0.042092	   1.267676	   0.315086	
  -0.033067	  -0.060416	  -0.130021	  -0.284719	  -0.348353	   0.975714	  -0.151838	  -0.019471	  -0.050114	  -0.166926	  -0.382041	   1.192860	  -0.176696	  -0.023230	  -0.093544	  -0.366148	   1.380020	  -0.261446	  -0.063291	  -0.324105	   1.596835	  -0.360604	  -0.406148	   1.987053	  -0.504260	   3.457862	   0.058160	   0.867035	
  -0.017286	  -0.053158	  -0.233883	   0.889029	  -0.188646	  -0.086266	  -0.021674	  -0.028130	  -0.146903	   0.723881	  -0.169032	  -0.155808	  -0.045474	  -0.112162	   0.547910	  -0.108427	  -0.272766	  -0.118197	   0.376662	   0.304692	  -0.556542	  -0.347174	   7.173756	   1.599270	   1.061590	  -0.331101	  -0.212478	  -0.056540	
  -0.017080	  -0.049478	  -0.197366	   0.566676	  -0.122069	  -0.104182	  -0.023776	  -0.025419	  -0.123488	   0.390367	  -0.044706	  -0.175412	  -0.047139	  -0.094003	   0.213850	   0.111840	  -0.279974	  -0.114080	  -0.077919	   0.718742	  -0.473206	  -0.294798	   4.079116	   1.302632	   0.723133	  -0.390015	  -0.213560	  -0.073686	
  -0.020803	  -0.061628	  -0.226522	   0.764144	   0.002590	  -0.096167	  -0.026120	  -0.032822	  -0.146504	   0.577977	   0.119486	  -0.165966	  -0.053723	  -0.112634	   0.379430	   0.327088	  -0.267245	  -0.132935	   0.091324	   0.995391	  -0.396516	  -0.317078	   3.844775	   1.537946	   0.993069	  -0.310303	  -0.108124	  -0.065347	
  -0.018516	  -0.053249	  -0.207981	   0.340519	   0.124892	  -0.110863	  -0.025846	  -0.026760	  -0.123798	   0.218957	   0.233616	  -0.189940	  -0.051513	  -0.088101	   0.106000	   0.408456	  -0.310705	  -0.125280	  -0.095224	   0.958822	  -0.564745	  -0.327520	   7.117351	   0.991638	   0.440162	  -0.237897	  -0.019524	  -0.077005	
  -0.086079	  -0.007644	   0.341409	   0.608289	   0.316608	  -0.045771	  -0.104239	  -0.103294	  -0.022809	   0.413861	   0.618900	   0.248527	  -0.045244	  -0.140068	   0.059044	   0.550462	   0.638096	   0.300829	  -0.101502	   0.103792	   0.500127	   0.630546	  -0.134438	   0.012510	   0.390984	  -0.119275	  -0.001759	  -0.096903	
  -0.088854	  -0.076920	   0.307922	   0.631666	   0.238805	  -0.048584	  -0.071053	  -0.124356	   0.017785	   0.544412	   0.609765	   0.207063	  -0.047721	  -0.106235	   0.145053	   0.618458	   0.584890	   0.188042	  -0.149286	   0.136698	   0.568527	   0.594172	  -0.125921	   0.072039	   0.406826	  -0.125988	  -0.050558	  -0.099484	
